input_text,output_line1,output_line2
LP STEAM FROM HEADER,LP STEAM,HEADER
1-105-JTC CONDENSER PRESSURE,1-105-JTC,CONDENSER
TURBINE INLET STEAM PRESS.,TURBINE IN,STEAM PRESS
TURBINE EXHAUST STEAM PRESS.,TURBINE EXUT,STEAM PRESS
TURBINE INLET STEAM  PRESS.,TURBINE IN,STEAM PRESS
DEMI WATER DISTRIBUTION,DEMI WATER,DISTRIBUTION
DELUGE VALVE SYSTEM 1-SDV-001,1-SDV-001,DELUGE VLV
DELUGE VALVE SYSTEM 1-SDV-002,1-SDV-002,DELUGE VLV
COMP. 1ST SEC. SUCTION PRESS.,1-105-J 1ST,SUCT PRESS
COMP. 1-105-J 2ND SEC. SUCTION PRESS.,1-105-J 2ND,SUCT PRESS
LP/HP COMP. SEPARATION GAS PRESS. LOW (FROM NH3),LP/HP COMP,GAS PRESS
NATURAL GAS FROM B.L.,NAT GAS,FROM BL
MP STEAM HEADER FROM BOILER PACKAGE AND TO OFFSITES,MP STEAM,FRM BOILER
FROM INSTRUMENT AIR DISTRIBUTION,INSTR AIR,DISTRIBUTION
INSTRUMENT AIR TO LUBE OIL SKID,INSTR AIR->,LUBE OIL SKD
TO PILOT BURNER OF START-UP HEATER,PILOT BURNER,START-UP
1-103-J 1ST STAGE SUCTION STRAINER,1-103-J 1ST,STAGE STRAIN
1-103-J 2ND STAGE SUCTION STRAINER,1-103-J 2ND,STAGE STRAIN
SYN GAS TO 1-103-J FROM 120-C,SYNGAS 120C,->1-103-J
SYN GAS TO 1-103-J 3RD STAGE,SYN GAS->,103J 3RD STG
1-105-D AMM SYN CONVERTER SG OUTLET,1-105-D NH3,SYN CONV
GAS AMMONIA TO 1ST STAGE 1-105-J,GAS NH3,1-105-J 1ST
GAS AMMONIA TO 2ND STAGE 1-105-J,GAS 2ND STG,1-105-J
1-125-D AMMONIA DISTILLATION COLUMN PRESSURE,1-125-D NH3,PR DIST COL
OIL RESERVOIR DIFF. PRESS.,OIL RESERV,DIFF PRESS
OIL FILTER DIFF. PRESS.,OIL FILTER,PRESS
LP COMP. PRIMARY SEAL GAS FILTER DIFF. PRESS.,LP COMP SEAL,DIFF PRESS.
LP COMP. PRIMARY SEAL GAS SUPPLY DIFF. PRESS.,LP COMP SEAL,DIFF PRESS.
LP COMP. BALANCE CONNECTOR DIFF. PRESS.,LP COMP CONN,DIFF PRESS.
LP COMP. N2 GAS FILTER DIFF. PRESS.,LP COMP N2 F,DIFF PRESS
LP COMP. SECONDARY SEAL GAS SUPPLY PRESS. CONTROL VALVE  POSITION FEEDBACK,LP COMP SEAL,VLV POS FB
HP COMP. PRIMARY SEAL GAS FILTER DIFF. PRESS.,HP COMP SEAL,DIFF PRESS
HP COMP. PRIMARY SEAL GAS SUPPLY DIFF. PRESS.,HP COMP SEAL,DIFF PRESS
HP COMP. BALANCE CONNECTOR DIFF. PRESS.,HP COMP CONN,DIFF PRESS
HP COMP. SECONDARY SEAL GAS SUPPLY PRESS. CONTROL VALVE  POSITION FEEDBACK,HP COMP SEAL,CTR POS FB
LP COMP. SEAL GAS BOOSTER PUMP INLET GAS FILTER DIFF. PRESS,LP COMP BOOS,IN DIFF PRES
HP COMP. SEAL GAS BOOSTER PUMP INLET GAS FILTER DIFF. PRESS,HP COMP SEAL,IN FILTER
ACROSS 1-HV-11400,1-HV-11400,ACROSS
ACROSS 1-HV-11401,1-HV-11401,ACROSS
LP COMP. PRIMARY SEAL GAS SUPPLY DIFF. PRESS. CONTROL VALVE (DE) POSITION FEEDBACK,LP COMP SEAL,POSITION  FB
LP COMP. PRIMARY SEAL GAS SUPPLY DIFF. PRESS.(DE),LP COMP SEAL,DIFF PRESS
LP COMP. PRIMARY SEAL GAS SUPPLY DIFF. PRESS.(DE) (FLARE),LP COMP SEAL,DIFF PRESS
LP COMP. PRIMARY SEAL GAS SUPPLY DIFF. PRESS. CONTROL VALVE (NDE) POSITION FEEDBACK,LP COMP SEAL,POSITION  FB
LP COMP. PRIMARY SEAL GAS SUPPLY DIFF. PRESS.(NDE) (FLARE),LP COMP SEAL,DIFF PRESS
"LP COMP. SECONDARY SEAL GAS SUPPLY
PRESS. CONTROL VALVE  POSITION FEEDBACK",LP COMP SEAL,VLV POS FB
STRAINER AT SUCTION OF 1-113-JA WARM AMMONIA PUMP,STRAINER,1-113-JA SUC
STRAINER AT SUCTION OF 1-113-J WARM AMMONIA PUMP,STRAINER,1-113-J SUCT
1-124-J SUCTION STRAINER,1-124-J SUCT,STRAINER
1-124-JA SUCTION STRAINER,1-124-JA,STRAINER
1-118-J INLET STRAINER,1-118-J IN,STRAINER
LP COMP. PRIMARY SEAL GAS SUPPLY DP. CONTROL VLV POS FDBK,LP COMP SEAL,VLV POS FB
LP COMP. SECONDARY SEAL GAS SUPPLY PRESS. CONTROL VLV POS FDBK,LP COMP SEAL,VLV POS FB
HP COMP. PRIM SEAL GAS SUPPLY DIFF. PRESS. CONTROL VLV POS FDBK,HP COMP SEAL,CTRL VLV POS
HP COMP. SEC SEAL GAS SUPPLY PRESS. CONTROL VALVE POS FDBK,HP COMP SEAL,CTRL VLV FB
LP COMP. PRIMARY SEAL GAS SUPPLY DIFF. PRESS. CONTROL VLV (DE) POS FDBK,LP COMP SEAL,CTRL VLV FB
LP COMP. PRIMARY SEAL GAS SUPPLY DIFF. PRESS. CONTROL VLV (NDE) POS FDBK,LP COMP SEAL,CTRL VLV FB
HP COMP. PRIMARY SEAL GAS SUPPLY DIFF. PRESS. CONTROL VLV POS FDBK,HP COMP SEAL,DIFF PRESS
HP COMP. SECONDARY SEAL GAS SUPPLY PRESS. CONTROL VLV POS FDBK,HP COMP SEAL,CTR POS FB
TO 1-103-J 1ST STAGE SUCTION,TO 1-103-J,1ST STG SUCK
SYNTHESIS GAS TO 1-150-D,SYNGAS TO,1-150-D
HYDROGEN GAS SUPPLY FROM B/L TO 1-150-D,N2 GAS SUPLY,BL->150D
MAIN OIL PUMP DISCHARGE PRESS.,MAIN OIL PMP,DISCH PRESS
STANDBY OIL PUMP A DISCHARGE PRESS.,SBY OIL PMPA,DISCH PMP
STANDBY OIL PUMP B DISCHARGE PRESS.,SBY OIL PMPB,DISCH PMP
OIL FILTER OUTLET PRESS. A,OIL FILTER,PRESS A
OIL FILTER OUTLET PRESS. B,OIL FILTER,PRESS B
COMP. 1ST SEC. DISCHARGE PRESS.,1-105-J 1ST,DISCH PRESS
LUBE OIL HEADER PRESS. (ALARM),LUB OIL HEAD,PRESS ALARM
LUBE OIL HEADER PRESS. (TRIP),LUB OIL HEAD,PRESS TRIP
LP COMP. PRIMARY SEAL GAS SUPPLY PRESS.,LP COMP SEAL,PRESS
LP COMP. PRIMARY SEAL GAS VENT PRESS.(DE),LP COMP SEAL,PRESS.(DE)
LP COMP. PRIMARY SEAL GAS VENT PRESS.(NDE),LP COMP SEAL,PRESS.(NDE)
LP COMP. N2 GAS SUPPLY PRESS.,LP COMP N2,SUPPLY  PRES
LP COMP. SECONDARY SEAL GAS SUPPLY PRESS.,LP COMP SEAL,PRESS
COMP. 2ND SEC. SUCTION PRESS.,1-105-J 2ND,SUCT PRESS
LP COMP. SEPARATION GAS SUPPLY PRESS.,LP COMP SEAL,SUPPLY PRESS
HP COMP. PRIMARY SEAL GAS SUPPLY PRESS.,HP COMP SEAL,SUPPLY PRESS
HP COMP. PRIMARY SEAL GAS VENT PRESS.(DE),HP COMP SEAL,VNT PRS(DE)
HP COMP. PRIMARY SEAL GAS VENT PRESS.(NDE),HP COMP SEAL,VNT PRS(NDE)
HP COMP. SECONDARY SEAL GAS SUPPLY PRESS.,HP COMP SEAL,SEAL PRESS
HP COMP. SEPARATION GAS SUPPLY PRESS.,HP COMP SEAL,SUPPLY PRESS
FROM RECYCLE STAGE TO 1-121-C,FROM 1-121-C,->RECYCLE
LP COMP. SEAL GAS BOOSTER PUMP A VENT PRESS.,LP COMP BOOS,VENT PRESS
LP COMP. SEAL GAS BOOSTER PUMP B VENT PRESS.,LP COMP BOOS,VENT PRESS
HP COMP. SEAL GAS BOOSTER PUMP A VENT PRESS.,HP COMP BOOS,VENT PRESS
HP COMP. SEAL GAS BOOSTER PUMP B VENT PRESS.,HP COMP BOOS,VNT PRESS
RECYCLE STAGE OF COMPRESSOR 1-103-J,1-103-J,RECYCLE STG
1-103-J DISCHARGE,1-103-J,DISCHARGE
FROM 1-123-C3 BFW PREHEATER,1-123-C3,BFW
SYN. GAS FROM 1-103-J RECYCLE STAGE,103J RECYCLE,STAGE
SYNTHESIS GAS TO 1-124-C,SYNGAS TO,1-124-C
SYN GAS TO 1-105-D NH3 SYN CONVERTER,SYN GAS->,1-105-D
SYN. GAS FROM 1-121-C TO 1-122-C2,SYNGAS 121C,->1-122-C2
1-120-CF2 OUTLET TO NH3 FLARE,1-120-CF2->,NH3 FLARE
TO SECOND STAGE SUCTION 1-105-J,2ND STG SUC,1-105-J
FROM NH3 ATM FLASH DRUM 1-152-D,NH3 ATM DRM,1-152-D
COMP. 3RD SEC. DISCHARGE PRESS.,1-105-J 3ST,DISCH PRESS
COMP. 2ND SEC. DISCHARGE PRESS.,1-105-J 2ND,DISCH PRESS
LP COMP. SEAL GAS BOOSTER PUMP C VENT PRESS.,LP COMP BOOS,VENT PRESS
LP COMP. SEAL GAS BOOSTER PUMP D VENT PRESS.,LP COMP BOOS,VENT PRESS
HP COMP. SEAL GAS BOOSTER PUMP C VENT PRESS.,HP COMP BOOS,VNT PRESS
GAS AMMONIA FROM 2ND STAGE 1-105-J,2ND STAGE,1-105-J NH3
LIQUID AMMONIA FROM 1-127-C CONDENSER TO 1-149-D,LIQ NH3,->1-149-D
AT SUCTION OF 1-113-J WARM AMMONIA PUMP,1-113-J WARM,NH3 PUMP
AT SUCTION OF 1-113-JA WARM AMMONIA PUMP,1-113-JA WAR,NH3 PUMP
AT DISCHARGE OF 1-113-JA WARM AMMONIA PUMP,1-113-JA WRM,NH3 PUMP
REFIGERANT RECEIVER  1-149-D PURGE GAS,149D PURGE,GAS PRESS
LIQUID AMMONIA FROM 1-149-D,LIQ NH3,FROM 149D
WARM AMMONIA PRODUCT PUMP DISCHARGE,WARM NH3,PUMP DISCH
LIQ. AMMONIA FROM 1-149-D,LIQ NH3,FROM 149D
FROM 1-147-D TO 1-150-D,FROM 1-147-D,->1-150-D
AMMONIA LET DOWN DRUM FROM 1-147-D,NH3,FROM 147D
AQUA AMMONIA TO 1-161-C,AQ NH3->,1-161-C
AQUA AMMONIA FROM 1-123-D,AQUA NH3,FROM 123D
AMMONIA GAS FROM 1-149-D,NH3 GAS,FROM 149D
MP STEAM TO 1-160-C,MP STEAM,->1-160-C
GAS AMMONIA FROM 1-125-D,GAS NH3,FROM 125D
AT SUCTION OF 1-124-J COLD AMMONIA PRODUCT PUMP,1-124-J COLD,NH3 PUMP
AT DISCHARGE OF 1-124-JA COLD AMMONIA PRODUCT PUMP,1-124-JA COL,NH3 PUMP
AT SUCTION OF 1-124-JA COLD AMMONIA PRODUCT PUMP,1-124-JA CLD,NH3 PUMP
COLD AMMONIA PRODUCT PUMP DISCHARGE,COLD NH3,PMP DISCH
DISCHARGE LINE OF 118-J,1-118-J,DISCH LINE
TURBINE AFTER ICV STAGE STEAM PRESS.,TURBINE ICV,STEAM PRESS
TURBINE GLAND SEALING STEAM PRESS.,TURBINE GLAD,STEAM PRESS
TURBINE CONTROL OIL PRESS. (ALARM),TURBINE CTRL,OIL PRES ALA
TURBINE CONTROL OIL PRESS. (TRIP),TURBINE CTRL,OIL PRES TRP
MP STEAM TO 1-105-JT,MP STEAM,->1-105-JT
FUEL GAS TO 102-B START-UP HEATER,FUEL GAS->,START UP HTR
NITROGEN TO 1-102-B START UP HEADER,N2->1-102-B,START
NITROGEN TO 1-150-D,NITROGEN->,1-150-D
COLD NH3 FROM 1-124-J/JA TO LAS,1-124-J/JA,NH3->LAS
1-186-D BLOWDOWN,STEAM COND,SELECT HDR
FUEL GAS TO FLARE TIPS,FUEL GAS->,FLARE TIPS
HYDROGEN GAS FROM OSBL,H2 FROM,OSBL
PHOSPHATE FOR INJECTION,PHOSPHATE,FOR INJECTON
COOLING WATER SUPPLY TO 162-C,COOL WTR SUP,->1-162-C
COOLING WATER SUPPLY TO 1-116-C,COOL WTR SUP,->1-116-C
COOLING WATER RETURN FROM 1-128-C,COOL WATER,1-116-C
WARM AMMONIA FROM 1-200-J/JA TO PLANT,WARM NH3,1-200-J/JA
INSTRUMENT AIR TO 1-103-JL LUBE OIL SKID,INSTR AIR->,1-103-JL
INSTRUMENT AIR TO 3-83-PU-001 LUBE OIL SKID,INSTR AIR->,3-83-PU-001
SYNTHESIS GAS COMPRESS 1-103-J FIRST STAGE,SYN GAS COMP,1-103-J 1ST
MP STEAM TO LP STEAM HEADER,MP STEAM->,HDR
TURBINE GLAND SEALING STEAM PRESS. (SUPPLY),TURBINE GLAD,STEAM PRESS
MAIN MOTOR PURGE PRESS. LOW,MAIN MOTOR,PURG PRES L
MAIN MOTOR PURGE PRESS. LOW LOW,MAIN MOTOR,PURG PRES LL
1-116-C SYNTHESIS GAS COMPRESSOR INTERCOOLER,SYNGAS COMPR,1-116-C COLR
1-103-J 3RD STAGE DISCHARGE,SYN GAS->,FLARE HDR
1-124-C AMMONIA CONVERTER EFFLUENT COOLER,1-124-C NH3,->CWR
1-120-CF2 OUTLET TO 1-105-J 3RD STAGE SUCTION,1-120-CF2->,NH3 FLARE
1-120-CF1 OUTLET TO 1-105-J 2ND STAGE,1-120-CF1->,NH3 FLARE
1-152-D AMMONIA ATMOSPHERIC FLASH DRUM,GAS NH3 FROM,1-152-D
REFRIGERANT COMPRESSOR INTERCOOLER,1-105-J,3RD STG INT
1-105-J REFRIGERENT COMPRESSOR DISCHARGE,TEMP 1-105-J,REF TEMP
1-127-C REFRIGERANT CONDENSER,WATER RETURN,1-127-C
1-149-D REFRIGERANT RECEIVER,1-149-D RECV,->NH3 FLARE
1-130-J PUMP DISCHARGE,LIQ NH3,PMP 1-130-J
1-130-JA PUMP DISCHARGE,LIQ NH3,PMP 1-130-JA
1-147-D AMMONIA LET DOWN DRUM,1-147-D NH3,LET DOWN DRM
PURGE GAS TO LP AMMONIA SCRUBBER (1-123-D),GAS NH3->,FLARE
1-160-J PUMP DISCHARGE,AQ NH3->,1-161-C
1-160-JA PUMP DISCHARGE,AQ NH3->,1-161-C
START UP BFW  TO 1-125-D,1-125-D->,1-127-C
AMMONIA DISTILLATION COLUMN EFFLUENT COOLER,TO NH3 FLARE,HEADER
STEAM DRUM 1-141-D,1-141-D,STEAM DRUM
1-186-D OVERHEAD MP STEAM BLOWDOWN DRUM,1-186-D MP,STM BLWD DRM
MP STEAM HEADER RELIEF VALVE,MP STEAM,HEADER
LP STEAM HEADER RELIEF VALVE,LP STEAM,RELIF VLV
SURFACE CONDENSER 1-105-JTC,1-105-JTC,SURF COND
TURBINE GLAND SEALING STEAM PRESS. RELIEF,TURB SEALING,STEAM PRESS
GLAND CONDENSER COOLING WATER RETURN,COOL WATER,RTURN GLAND
FUEL GAS TO 1-102-B START-UP HEATER MAIN BURNER,FUEL GAS->,MAIN BURNER
FUEL GAS TO 1-102-B START-UP HEATER PILOT BURNER,FUEL GAS->,MAIN BURNER
COMP. 1ST SEC. SUCTION PRESSURE,1-105-J 1ST,SUCT PRESS
SYN GAS TO 1-103-J FROM 1-120-C,SYNGAS 120C,->1-103-J
STARTUP HEATER 1-102-B FLUE GAS,1-102-B,START UP HTR
START-UP HEATER 1-102-B DRAFT MEASUREMENT,STARTUP HTR,1-102-B
AMMONIA GAS TO 1-150-D,GAS NH3 FROM,1-147-D
OVERHEAD AMMONIA VAPOR FROM 11-125-D,GAS 1-125-D,->1-127-C
LP STEAM HEADER,LP STEAM,HEADER
TURBINE AFTER 1ST STAGE STEAM PRESS.,TURBINE ICV,STEAM PRESS
FUEL GAS TO 1-102-B,FUEL GAS->,START UP HTR
MP STEAM HEADER FROM BOILER PACKAGE TO OFFSITES,MP STEAM,FRM BOILER
SYN. GAS TO 1-103-J 1ST STAGE SUCTION,SYN GAS FRM,1-150-D
AMMONIA GAS TO LP AMMONIA SCRUBBER,GAS NH3 FROM,1-149-D
AMMONIA TO BACK END FLARE FROM 1-123-D,PURGE GAS->,NH3 FLARE
MP STEAM HEADER,MP STEAM,HEADER
GAS AMMONIA FROM 1-149-D TO  123-D,GAS NH3 FROM,1-149-D
TURBINE GLAND SEALING STEAM PRESS. CONTROL VALVE  (SUPPLY) POSITION FEEDBACK,TURBINE GLAD,CTRL VLV POS
TURBINE GLAND SEALING STEAM PRESS. CONTROL VALVE  (SPILL OVER) POSITION FEEDBACK,TURBINE GLAD,CTRL VLV POS
TURBINE TRIP SOV-B TRIP,TURBINE TRIP,SOV
TURBINE TRIP SOV-A TRIP,TURBINE TRIP,SOV
TURBINE OVERSPEED TRIP,TURBINE,OVERSPD TRIP
LP GEAR ACCELERATION (LSS),LP GEAR,ACC LSS
LP GEAR ACCELERATION (HSS),LP GEAR,ACC HSS
HP GEAR ACCELERATION (LSS),HP GEAR,ACCEL LSS
HP GEAR ACCELERATION (HSS),HP GEAR,ACCEL HSS
MAIN MOTOR ACTUAL SPEED,MAIN MOTOR,SPEED
MAIN MOTOR SPEED REFERENCE,MAIN MOTOR,SPEED REF
TURBINE SPEED SENSOR (OSTM),TURBINE SPED,OSTM
TURBINE SPEED SENSOR (GOV),TURBINE SPED,GOV
GOVERNING VALVE,GOVERNING,VALVE
GV ACTUATOR POSITION FEEDBACK,GV ACTUATOR,POSITION FB
COOLING WATER RETURN FROM 1-116-C INTERCOOLER,COOL WATER,1-116-C COOL
ELECTRIC OIL HEATER A THERMOSTAT,ELE OIL HTR,THERMOSTAT
ELECTRIC OIL HEATER B THERMOSTAT,ELE OIL HTR,THERMOSTAT
COMP. 1ST SEC. SUCTION TEMP.,1-105-J 1ST,SUCT TEMP
COMP. 1ST SEC. DISCHARGE TEMP.,1-105-J 1ST,DISCH TEMP
COMP. 2ND SEC. SUCTION TEMP.,1-105-J 2ND,SUCT TEMP
SYN GAS FROM 1ST STAGE 1-103-J TO 1-116-C,SYN GAS 103J,->1-116-C
SYNTHESIS GAS TO 1-121-C,SYN GAS,->1-121-C
BEARING TEMP. COMMON HIGH,BEAR TEMP,HIGH
SYNTHESIS GAS FROM 1-123-C3 TO 1-121-CA/CB,ALARM: HIGH,CHANGE RATE
HIGH RATE OF CHANGE ALARM,ALARM: HIGH,CHANGE RATE
SYN GAS FROM 1-124-C TO 1-120-C,SYN GAS 124C,->1-120-C
1-105-D BED 3A INLET,1-105-D BED,3A INLET
1-105-D SHELL SG TO 1-122-C2,1-105-D->,1-122-C2
1-105-D BED 2 INLET,1-105-D BED,2 INLET
1-105-D SHELL SG TO 1-122-C1,1-105-D->,1-122-C1
1-105-D Bed 1 inlet,1-105-D BED,1 INLET
1-105-D BED TEMPERATURE,1-105-D BED,TEMPERATURE
1-105-D AMM SYN CONVERTER SHELL,1-105-D NH3,SYN SHELL
LIQUID AMMONIA FROM 1-120-C CHILLER,LIQ NH3 FRM,1-120-C CHIL
SYNTHESIS GAS FROM 1-120-C CHILLER,SYN GAS FRM,120-C CHILL
LIQUID AMMONIA FROM 1-152-D TO 1-124-J/JA PUMPS,LIQ NH3 152D,->1-124-J/JA
COMP.  1-105-J 3RD SEC. SUCTION TEMP.,1-105-J 3ST,SUCT TEMP
COMP.  1-105-J 3RD SEC. DISCHARGE TEMP.,1-105-J 3ST,DISCH TEMP
AQUA NH3 FROM 1-161-C NH3 FEED EXCHANGER,AQUA NH3,1-161-C FEED
1-125-D AMMONIA DISTILLATION COLUMN TEMPERATURE,1-125-D NH3,TEM DIST COL
MP STEAM TO INTERCONNECTING DISTRIBUTION,MP STEAM->,INTERCONN
Turbine Inlet Steam Temp.,TURBINE IN,STEAM TEMP
BEARING TEMP. COMMON HIGH HIGH,BEAR TEMP,HIGH HIGH
OIL COOLER OUTLET TEMP. CONTROL VALVE,OIL COOL,OUT TEMP VLV
SYN GAS TO 1-105-D,SYN GAS->,1-105-D
SYN GAS TO 1-124-C NH3 CONV EFFLUENT COOLER,SYN GAS->,1-124-C NH3
NH3 CONVERTER 1-123-C1,NH3 CONVERTR,1-123-C1
FROM 1-121-CB AND 1-121-CA,FROM,1-121-CB/CA
1-105-D BED TEMPERATURE (NOZZEL 'AT'),1-105-D BED,3A INLET
1-105-D BED TEMPERATURE (NOZZEL 'BT'),1-105-D BED,TEMPERATURE
1-105-D SKIN TEMPERATURE,1-105-D NH3,SYN SHELL
FROM 1-152-D TO 1ST STAGE 1-105-J,FROM 1-152-D,->1-105-J
COMP. 2ND SEC. DISCHARGE TEMP.,1-105-J 2ND,DISCH TEMP
LIQUID AMMONIA FROM 1-127-C REFRIGERANT CONDENSER,LIQ NH3 FRM,1-127-C
COOLING WATER RETURN FROM 1-127-C,WATER RETURN,1-127-C
AQUA AMMONIA FROM 1-125-D TO TO 1-161-C,NH3 1-125-D,->1-161-C
TEMPERATURE 1-160-C,TEMPERATURE,1-160-C
AT DISCHARGE OF 1-124-J COLD AMMONIA PRODUCT PUMP,1-124-J COLD,NH3 PUMP
EMERGENCY COOLING WATER TO L.O. COOLERS,COOL WATER,1-116-C
OIL RESERVOIR TEMP.,OIL RESERV,TEMP.
OIL COOLER OUTLET TEMP.,OIL COOL,OUT TEMP
LUBE OIL HEADER TEMP.,LUB OIL HEAD,TEMP
LP COMP. SEAL GAS HEATER REMOTE SETPOINT,LP COMP HTR,REM SETPOINT
LP COMP. GAS HEATER EXTERNAL SURFACE TEMP.,LP COMP HTR,SURFA TEMP.
LP COMP. GAS HEATER CASING TEMP.,LP COMP HTR,CAS TEMP
LP COMP. GAS HEATER TEMP. (CASCADE CONTROL),LP COMP HTR,OUT TEMP.
LP COMP. GAS HEATER OUTLET TEMP.,LP COMP HTR,OUT TEMP.
LP COMP. GAS HEATER OUTLET TEMP. (CASCADE CONTROL),LP COMP HTR,OUT TEMP.
LP COMP. PRIMARY SEAL GAS SUPPLY TEMP.(DE),LP COMP SEAL,TEMP.(DE)
LP COMP. PRIMARY SEAL GAS SUPPLY TEMP.(NDE),LP COMP SEAL,TEMP.(NDE)
HP COMP. SEAL GAS HEATER REMOTE SETPOINT,HP COMP SEAL,REMOT SET
HP COMP. GAS HEATER EXTERNAL SURFACE TEMP.,HP COMP HTR,SURF TEMP
HP COMP. GAS HEATER CASING TEMP.,HP COMP HTR,CASING TEMP
HP COMP. GAS HEATER TEMP. (CASCADE CONTROL),HP COMP HTR,TEMP
HP COMP. GAS HEATER OUTLET TEMP.,HP COMP HTR,OUT TEMP
HP COMP. GAS HEATER OUTLET TEMP. (CASCADE CONTROL),HP COMP HTR,OUT TEMP
HP COMP. PRIMARY SEAL GAS SUPPLY TEMP.(DE),HP COMP SEAL,TEMP(DE)
HP COMP. PRIMARY SEAL GAS SUPPLY TEMP.(NDE),HP COMP SEAL,TEMP(NDE)
LP COMP. THRUST BEARING TEMP. (OUTSIDE A),LP COMP BEAR,TEMP OUT A
LP COMP. THRUST BEARING TEMP. (OUTSIDE B),LP COMP BEAR,TEMP OUT B
LP COMP. THRUST BEARING TEMP. (INSIDE A),LP COMP BEAR,TEMP IN A
LP COMP. THRUST BEARING TEMP. (INSIDE B),LP COMP BEAR,TEMP IN B
LP COMP. JOURNAL BEARING TEMP. (NDE A),LP COMP BEAR,TEMP NDE A
LP COMP. JOURNAL BEARING TEMP. (NDE B),LP COMP BEAR,TEMP NDE B
LP COMP. JOURNAL BEARING TEMP. (DE A),LP COMP BEAR,TEMP DE A
LP COMP. JOURNAL BEARING TEMP. (DE B),LP COMP BEAR,TEMP DE B
HP COMP. THRUST BEARING TEMP. (OUTSIDE A),HP COMP BEAR,TEMP OUT A
HP COMP. THRUST BEARING TEMP. (OUTSIDE B),HP COMP BEAR,TEMP OUT B
HP COMP. THRUST BEARING TEMP. (INSIDE A),HP COMP BEAR,TEMP IN A
HP COMP. THRUST BEARING TEMP. (INSIDE B),HP COMP BEAR,TEMP IN B
HP COMP. JOURNAL BEARING TEMP. (NDE A),HP COMP,BR TMP(NDE)
HP COMP. JOURNAL BEARING TEMP. (NDE B),HP COMP,BR TMP(NDE)
HP COMP. JOURNAL BEARING TEMP. (DE A),HP COMP,BR TMP(DE)
HP COMP. JOURNAL BEARING TEMP. (DE B),HP COMP,BR TMP(DE)
LP GEAR THRUST BEARING TEMP. (LSS/OUTSIDE A),LP GEAR BEAR,LSS OUT A
LP GEAR THRUST BEARING TEMP. (LSS/OUTSIDE B),LP GEAR BEAR,LSS OUT B
LP GEAR THRUST BEARING TEMP. (LSS/INSIDE A),LP GEAR BEAR,LSS IN A
LP GEAR THRUST BEARING TEMP. (LSS/INSIDE B),LP GEAR BEAR,LSS IN B
LP GEAR JOURNAL BEARING TEMP. (LSS/FREE END A),LP GEAR BEAR,LSS END A
LP GEAR JOURNAL BEARING TEMP. (LSS/FREE END B),LP GEAR BEAR,LSS END B
LP GEAR JOURNAL BEARING TEMP. (LSS/COUPLING END A),LP GEAR BEAR,LSS END A
LP GEAR JOURNAL BEARING TEMP. (LSS/COUPLING END B),LP GEAR BEAR,LSS END B
LP GEAR JOURNAL BEARING TEMP. (HSS/COUPLING END A),LP GEAR BEAR,HSS END A
LP GEAR JOURNAL BEARING TEMP. (HSS/COUPLING END B),LP GEAR BEAR,HSS END B
LP GEAR JOURNAL BEARING TEMP. (HSS/FREE END A),LP GEAR BEAR,HSS END A
LP GEAR JOURNAL BEARING TEMP. (HSS/FREE END B),LP GEAR BEAR,HSS END B
HP GEAR THRUST BEARING TEMP. (LSS/OUTSIDE A),HP GEAR BEAR,LSS OUT A
HP GEAR THRUST BEARING TEMP. (LSS/OUTSIDE B),HP GEAR BEAR,LSS OUT B
HP GEAR THRUST BEARING TEMP. (LSS/INSIDE A),HP GEAR BEAR,LSS IN A
HP GEAR THRUST BEARING TEMP. (LSS/INSIDE B),HP GEAR BEAR,LSS IN B
HP GEAR JOURNAL BEARING TEMP. (LSS/FREE END A),HP GEAR BEAR,LSS END A
HP GEAR JOURNAL BEARING TEMP. (LSS/FREE END B),HP GEAR BEAR,LSS END B
HP GEAR JOURNAL BEARING TEMP. (LSS/COUPLING END A),HP GEAR BEAR,LSS END A
HP GEAR JOURNAL BEARING TEMP. (LSS/COUPLING END B),HP GEAR BEAR,LSS END B
HP GEAR JOURNAL BEARING TEMP. (HSS/COUPLING END A),HP GEAR BEAR,HSS END A
HP GEAR JOURNAL BEARING TEMP. (HSS/COUPLING END B),HP GEAR BEAR,HSS END B
HP GEAR JOURNAL BEARING TEMP. (HSS/FREE END A),HP GEAR BEAR,HSS END A
HP GEAR JOURNAL BEARING TEMP. (HSS/FREE END B),HP GEAR BEAR,HSS END B
MAIN MOTOR JOURNAL BEARING TEMP. (LP SIDE A),MAIN MOTOR,BR TEMP LP A
MAIN MOTOR JOURNAL BEARING TEMP. (LP SIDE B),MAIN MOTOR,BR TEMP LP B
MAIN MOTOR JOURNAL BEARING TEMP. (HP SIDE A),MAIN MOTOR,BR TEMP HP A
MAIN MOTOR JOURNAL BEARING TEMP. (HP SIDE B),MAIN MOTOR,BR TEMP HP B
MAIN MOTOR STATOR WINDING TEMP. (A-U),MAIN MOTOR,WIND TEMP AU
MAIN MOTOR STATOR WINDING TEMP. (A-V),MAIN MOTOR,WIND TEMP AV
MAIN MOTOR STATOR WINDING TEMP. (A-W),MAIN MOTOR,WIND TEMP AW
MAIN MOTOR STATOR WINDING TEMP. (B-U),MAIN MOTOR,WIND TEMP BU
MAIN MOTOR STATOR WINDING TEMP. (B-V),MAIN MOTOR,WIND TEMP BV
